course,prerequisite
MA-112,MA-111
PH-111,MA-111
MA-211,MA-112
PH-112,PH-111
PH-114,PH-111
ENGR-223,PH-111
ENGR-223,MA-111
MA-212,MA-112
ENGR-115,MA-111
ENGR-320,ENGR-223
ENGR-240,ENGR-100
ENGR-215,ENGR-115
ENGR-215,PH-112
ENGR-220,CORE-1400
ENGR-220,CORE-1500
ENGR-226,CH-101
ENGR-226,MA-111
ENGR-228,ENGR-226
ENGR-310,CH-101
ENGR-310,PH-111
ENGR-315,ENGR-215
ENGR-315,ENGR-223
ENGR-340,MA-112
ENGR-340,ENGR-310
ENGR-450,ENGR-240
ENGR-366,MA-212
ENGR-450,ENGR-240
ENGR-451,ENGR-450
MA-241,MA-111
ENGR-452,ENGR-451
CORE-3400,CORE-1400
CORE-3400,CORE-1500
ENGR-327,ENGR-226
ENGR-328,ENGR-105
